User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
iPlay4FunNowXD,NA1,Platinum 3,Duelist,1.3017,4.0,12.5774,32.0
Sinto,Otnis,Gold 2,Sentinel,0.828,3.8,21.0727,19.0
FkingQuacked,AZN,Immortal 1,Duelist,1.9271,3.8,14.0767,25.2
LV aang,gai,Immortal 2,Flex,1.4136,2.6,30.4787,41.8
Jarris,8008,Immortal 1,Duelist,0.9976,3.4,18.819,23.0
rin,5623,Diamond 3,Flex,0.7945,8.5,22.4877,49.0
Buikz,4435,Diamond 2,Flex,0.9645,6.2,15.7257,57.6
iLove Goth Thots,tasty,Gold 3,Flex,0.6043,4.0,15.455,27.4
abX charLena,777,Platinum 3,Flex,1.0205,5.0,18.4954,32.8
AtomicEpicFace,8072,Diamond 1,Controller,1.5712,8.4,11.1688,42.2
NCE Alchemic,1593,Diamond 1,Flex,1.5008,3.2,30.9582,28.0
Soupy39,7662,Diamond 2,Flex,3.1817,2.2,16.7143,28.8
Mageyx,6969,Gold 1,Flex,0.9922,3.4,15.1916,37.4
zhyel,2632,Bronze 1,Duelist,0.8538,3.2,1.9277,9.8
Guzman,God,Immortal 1,Duelist,1.3352,5.4,24.7264,35.0
Susan Heffely 34,mommy,Platinum 2,Initiator,1.07,7.8,22.7772,49.2
L00per,Dream,Diamond 2,Controller,1.4483,9.2,24.7589,47.6
toi,jas,Diamond 3,Flex,0.7981,4.6,24.9496,45.2
Ark,7421,Diamond 2,Flex,0.5625,8.0,27.5,46.0
Alaina,Not,Platinum 1,Initiator,0.4518,7.2,15.6687,32.0
Live on Bush,NA1,Platinum 3,Flex,1.2577,3.4,14.4704,41.8
hanabi,pew,Platinum 1,Duelist,0.9698,5.8,12.3934,29.6
Leviathan,436,Diamond 3,Duelist,0.7232,2.4,24.959,35.6
soul,help,Immortal 1,Duelist,0.9928,4.0,21.8873,35.0
saiii,zzz,Diamond 1,Duelist,1.1631,3.0,38.5402,21.8
gkniight,BBC,Diamond 1,Controller,0.6521,3.6,13.5773,44.8
FR02TY,KURO,Diamond 2,Duelist,1.9165,4.4,12.1052,18.4
Shuckle,6959,Platinum 1,Initiator,0.7786,5.4,17.9731,49.8
Grey,Aqua,Diamond 1,Controller,1.0897,8.4,15.0464,56.0
WTDD CarT,1738,Platinum 3,Initiator,1.1051,6.4,21.6804,65.6
Sage,935,Immortal 2,Flex,1.0192,6.2,22.6556,66.8
TurdyLad,3025,Diamond 1,Duelist,1.2549,3.0,23.4291,33.0
