User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
greed,NRG,Gold 3,Flex,0.924,2.6,25.6711,23.2
xMP,8675,Platinum 1,Controller,1.2701,5.8,11.1047,33.4
Beastyy,000,Gold 3,Flex,0.8601,3.4,17.2005,31.4
Lecheflan,sugar,Gold 2,Flex,0.6,1.0,24.2424,29.0
Angel Gohan,9820,Gold 2,Controller,1.0485,7.6,20.2016,52.6
Japward,6969,Gold 2,Flex,0.868,4.4,17.7778,36.8
Safaroon,iron,Silver 3,Flex,1.2329,4.2,8.3606,26.2
typi3d,7656,Platinum 1,Flex,1.0547,6.4,30.5832,55.2
JiggyWatt,0000,Platinum 2,Sentinel,1.3932,6.6,9.8703,42.6
ZGOaTEd BOt,1865,Gold 2,Sentinel,0.6313,3.6,11.3991,26.0
SGT BUZZOFF,GOBLN,Gold 2,Flex,0.6316,6.0,27.2727,27.0
jonin,leaf,Gold 3,Duelist,0.6908,3.4,22.1488,46.6
Anku,Ghost,Gold 2,Flex,0.794,4.0,10.3302,38.8
Brax,0001,Gold 3,Duelist,1.0615,3.2,10.9848,33.8
ddbohio,9620,Platinum 2,Flex,1.0207,4.0,21.1004,26.4
path,yyy,Diamond 3,Duelist,1.0673,6.4,12.0712,18.4
FFNF Saint Louis,NA1,Gold 3,Flex,0.5714,4.0,28.0,25.0
CSGO,5934,Platinum 1,Duelist,1.3323,2.4,7.0189,22.8
ImJeff174,uwu,Platinum 1,Duelist,1.6657,4.75,16.5037,23.25
mephiles,666,Platinum 2,Controller,1.2203,3.6,33.9432,34.2
easyj11,7275,Gold 2,Initiator,1.1122,4.4,20.4755,48.6
RSNoCap,8985,Platinum 1,Initiator,1.0805,5.2,20.2716,39.2
heyGrandma,7485,Platinum 1,Flex,0.987,6.8,11.0569,57.0
WalterWhitee,4607,Gold 2,Duelist,0.6723,3.0,13.5173,24.0
Zede,1415,Platinum 1,Controller,0.9626,4.8,21.2677,52.8
LobstΞr,SEA,Platinum 1,Duelist,0.9361,3.0,20.7574,39.2
Keon,FaZe,Platinum 1,Initiator,1.0274,5.8,11.3921,18.4
SKR Neige,SKR,Gold 3,Duelist,1.093,1.8,21.6755,37.2
Vish,0001,Platinum 2,Flex,1.4172,6.0,20.6665,39.2
chair,6942,Platinum 2,Initiator,0.9311,6.2,37.982,51.8
Mysticalraindeer,magic,Gold 2,Flex,0.75,1.0,18.0328,56.0
okdev,999,Gold 2,Flex,1.3333,6.0,24.6025,78.0
Koite,Ace,Gold 2,Controller,0.771,7.4,13.3095,42.2
Boki,5144,Platinum 2,Initiator,0.8486,7.4,14.483,64.6
potato,prod,Platinum 2,Flex,0.7334,3.0,15.7136,14.8
TugMyToes,NA1,Platinum 1,Flex,0.7203,8.2,5.4268,33.2
Ruh,Scoob,Diamond 2,Controller,0.6936,5.2,16.1482,53.4
ThunderPunch,256,Gold 3,Duelist,1.2868,2.75,16.6212,34.75
S T E V I E,3070,Gold 2,Initiator,1.0369,3.4,18.2623,23.4
zechlmao,777,Platinum 1,Duelist,1.0468,3.6,10.818,18.0
JΞFF,999,Gold 3,Flex,1.2846,4.8,15.6994,25.4
bobs,42069,Gold 3,Initiator,0.8683,8.0,21.6237,42.4
duhduhdont,6237,Platinum 1,Controller,1.3629,4.2,3.6923,11.6
uriah,xoxo,Diamond 1,Duelist,1.313,3.2,25.746,34.8
Dren,444,Diamond 3,Controller,4.5635,3.6,21.7565,39.4
MujyKun,NA1,Gold 2,Duelist,0.6874,5.2,9.9825,23.8
wabaaaam,8097,Platinum 2,Flex,1.2978,3.2,21.6672,39.2
Moist,7664,Bronze 3,Initiator,1.3972,7.4,6.2807,9.8
MarkyMillice,2714,Gold 2,Flex,1.1234,5.4,10.1095,47.4
DarkShadows38,NA1,Platinum 1,Flex,0.8553,4.4,14.8467,35.6
Sqwalker,NA1,Bronze 1,Initiator,0.8167,6.8,6.6923,21.0
Slushy,9994,Platinum 2,Flex,0.6875,3.0,28.5714,52.0
Leon33,9776,Silver 3,Flex,1.0463,3.8,36.6117,37.0
Torius1,NA1,Gold 3,Flex,NaN,NaN,NaN,NaN
Nekomi27,Badng,Gold 1,Controller,0.9157,7.2,10.4656,40.4
tavinmachineシ,69420,Platinum 2,Duelist,1.0126,3.4,24.0512,28.8
pej,upin,Gold 1,Flex,1.2704,4.8,12.8609,15.0
Grandpa,matt,Platinum 2,Initiator,0.786,5.25,17.4878,46.0
