User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
REHZ,NA1,Bronze 2,Flex,1.1726,6.0,6.4301,38.0
flaminghotcheeto,6151,Gold 1,Sentinel,1.0101,6.0,26.9493,35.8
Skarlock,9568,Bronze 3,Flex,0.9742,3.2,6.2738,19.6
IISnake0,NA1,Iron 3,Sentinel,0.7973,4.8,13.7804,24.2
JonathanT14,NA1,Iron 3,Flex,0.7991,3.0,0.0,0.0
fate,900,Bronze 2,Duelist,0.5425,6.8,12.4943,32.4
Soo moist,000,Silver 3,Duelist,0.7101,5.2,22.4728,40.2
LouieLinguini,5606,Bronze 3,Flex,1.2565,7.4,14.9384,28.2
soie,888,Bronze 3,Flex,1.1546,6.0,21.3631,41.6
Charlock,3642,Bronze 3,Duelist,1.1316,3.6,10.4412,18.2
mamu,8134,Silver 2,Sentinel,1.3441,5.8,20.8346,25.8
ToiletAgua,6860,Gold 1,Flex,1.6191,2.8,27.1929,36.8
Aiyarra,294,Platinum 1,Flex,1.4811,3.2,20.2963,9.8
Hei,2615,Gold 3,Duelist,2.5282,6.2,15.8739,39.2
KhockBoye,na121,Platinum 2,Sentinel,1.47,2.8,15.1318,27.2
Grand Elder Guru,NA1,Bronze 1,Controller,0.8801,5.0,7.9568,43.6
humpy,4114,Silver 1,Initiator,1.8167,2.8,18.9683,16.8
Horny Hippo,bebe,Bronze 3,Flex,0.8846,5.8,15.5325,17.8
Eleanor,GS170,Bronze 3,Flex,1.4125,3.8,22.0981,36.8
g1ngY,5884,Bronze 2,Controller,1.7498,6.2,13.0213,40.0
mangina,NA1,Bronze 3,Initiator,1.2512,5.2,12.8038,26.8
iicyrain,1615,Silver 1,Sentinel,0.935,3.4,24.0085,19.8
PopSkyhigh,Pop,Platinum 2,Duelist,0.7913,4.0,18.9359,37.6
PizzaNora69,NA1,Iron 3,Sentinel,2.1,2.4,11.4008,5.8
thoughts,naur,Silver 3,Controller,1.3257,5.6,19.9455,31.4
ThePrestige,9329,Gold 2,Duelist,1.8967,2.0,16.9432,10.2
LivGwaGwa,Bless,Bronze 2,Initiator,1.1632,4.0,10.239,14.4
mnbhki10,Beans,Bronze 1,Duelist,1.0334,2.2,10.5752,18.6
RajNotCool,7218,Silver 3,Duelist,1.3081,3.4,19.1636,57.0
CaptainEz23,1795,Iron 3,Sentinel,1.3591,9.4,9.9219,5.6
PabloTheBlo,BLO,Gold 1,Initiator,1.4638,7.2,0.0,0.0
Hydra,ACE,Bronze 2,Sentinel,0.5955,4.6,13.3956,15.4
CombatMedic,6969,Gold 1,Flex,1.7761,4.6,15.543,42.8
TTV ProdbyFredo,TTV,Bronze 3,Controller,2.4733,5.4,16.6363,37.0
nupic,2017,Bronze 2,Duelist,1.7679,5.0,18.6149,35.8
Caffeinator,666,Bronze 3,Flex,1.2674,1.8,16.4083,22.8
rice,5414,Silver 3,Duelist,1.0998,4.4,5.7619,14.2
OpossumTrash,Nasty,Bronze 1,Flex,1.6467,2.0,5.4265,9.8
Kaylalah,NA1,Bronze 1,Flex,0.7421,3.2,14.8016,20.0
NoodlesΨツ,2697,Bronze 2,Controller,1.0625,5.0,13.6107,47.6
marctrus,4860,Silver 1,Sentinel,1.0202,5.8,10.696,34.8
Mert,066,Platinum 2,Sentinel,3.28,1.4,37.1787,19.0
cm90wx,9913,Bronze 2,Controller,0.9817,4.4,19.2914,34.0
MoldyCheese,8437,Bronze 1,Initiator,1.0059,6.8,17.7869,61.0
LadyGaga,9382,Silver 1,Duelist,2.7005,4.2,20.9188,34.0
Lust,ing,Platinum 1,Flex,1.0171,6.4,19.4681,34.8
Nandead559,Dead,Bronze 3,Sentinel,1.1799,3.6,14.9581,16.8
Maxypadシ,5968,Bronze 2,Duelist,1.0789,6.0,7.3727,48.6
Powles,5W46,Platinum 2,Duelist,1.1386,6.6,8.7409,39.8
academica,0000,Bronze 3,Flex,1.2723,3.8,6.5536,19.6
Shino Aburame,jono3,Bronze 2,Initiator,0.911,4.2,14.3687,42.0
Abasae,Boobs,Bronze 1,Sentinel,1.3994,4.0,21.5142,20.8
RoyalNeptune,7824,Bronze 2,Flex,0.8125,3.0,18.4211,44.0
Reaper,RPX,Diamond 2,Duelist,0.9889,4.4,10.9869,41.4
GoldenPants,goldy,Silver 2,Duelist,1.3826,9.4,0.0,0.0
Neamon,7063,Gold 2,Flex,0.8111,5.8,7.3317,34.8
eries,7204,Silver 3,Flex,1.3991,4.2,14.352,21.0
itchynanobot,6142,Silver 1,Flex,0.9248,5.8,9.0401,16.6
AsmoDeUs,5631,Silver 2,Initiator,0.6286,3.0,17.7078,45.0
4384641204,2037,Iron 2,Duelist,0.7343,1.4,13.9011,16.4
Ave11agine,8602,Gold 1,Flex,1.0253,6.2,6.0014,18.8
Abuela Frost,ded,Bronze 3,Initiator,0.5333,1.4,12.3691,24.4
JustGripss,6071,Gold 3,Controller,1.1767,4.6,19.0479,36.6
kikufuku,mochi,Silver 1,Controller,0.8083,4.0,13.1267,28.2
PaulSmecker,Rjt,Silver 1,Duelist,1.9469,5.4,10.8493,34.6
heejunii,NA1,Bronze 1,Controller,0.8481,6.4,15.5381,43.0
onewon101,1111,Silver 1,Flex,0.8057,6.8,9.1565,45.2
ryebreadz,NA1,Bronze 3,Controller,0.671,2.4,18.4507,22.6
mujio,iL00,Silver 3,Sentinel,1.3099,3.8,18.8498,22.4
Deo,7878,Silver 3,Flex,1.9227,4.2,12.7273,7.0
dacular123,3178,Bronze 3,Duelist,0.8029,5.2,9.5227,31.8
NerfTheNerd100,4405,Silver 1,Controller,0.5308,2.2,13.6368,32.6
ipodjelly,Ector,Silver 1,Sentinel,0.941,7.0,14.5631,27.8
sooha,hii,Silver 3,Flex,1.6143,8.8,15.8864,43.8
Akosum,3120,Silver 2,Duelist,1.9425,4.2,21.0231,34.2
themimzy,4610,Silver 1,Flex,0.7701,2.4,9.9053,30.6
DreamOfLumi,nuts,Bronze 1,Flex,2.2058,3.4,8.3352,18.6
HangryApple,apple,Silver 3,Flex,0.7362,2.6,12.3739,8.2
