User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Carter xD,NA1,Immortal 3,Flex,1.48,1.2,48.6724,21.8
Matocky,zzzz,Immortal 3,Flex,1.0843,3.8,15.195,44.4
Soul,iwnl,Immortal 3,Duelist,1.4197,2.6,33.5316,27.4
blutuw,pog,Immortal 1,Duelist,0.693,4.2,17.9157,28.0
CrispyJah,JAH,Immortal 2,Flex,NaN,NaN,NaN,NaN
Schove,1323,Immortal 3,Duelist,0.8546,7.0,20.7854,60.8
raiku,kepi,Immortal 3,Flex,1.5004,2.6,6.2857,12.4
Dani,TTV,Radiant,Flex,1.0431,3.2,22.586,48.2
ȘîĞМΛ МДŁĚ 못凸,kekw,Immortal 3,Flex,0.8646,6.8,16.4413,49.2
nab,7106,Gold 3,Flex,1.1613,5.4,12.5464,32.8
너의 아빠,0000,Silver 1,Flex,1.8432,2.0,14.1024,19.0
panini,noino,Immortal 2,Controller,1.1438,6.0,13.435,40.6
Flenpai,5789,Silver 3,Flex,0.7865,3.0,26.6083,30.0
Jay,ysx,Immortal 1,Flex,0.971,5.2,26.3892,64.0
B2 Combat,JBB,Immortal 1,Initiator,0.8652,7.8,11.5623,44.8
hockeyYoda,NA1,Silver 2,Flex,0.973,4.6,3.2099,8.4
Rare,Aim,Immortal 3,Flex,1.45,2.0,16.6667,29.0
ochiba,Tav,Silver 1,Duelist,1.2,3.8,9.2486,25.6
g0n,vN1,Immortal 3,Initiator,1.2335,4.4,27.1905,47.4
blaiZe,TTV,Radiant,Flex,1.5116,4.4,21.6649,41.4
Coastin,8099,Immortal 3,Duelist,0.8742,3.8,9.4675,16.2
pond,ook,Immortal 3,Flex,1.1984,6.8,34.4477,57.2
AOE Samoh,lvndr,Immortal 1,Duelist,1.5781,3.0,29.2098,42.6
Rekt,2911,Immortal 3,Initiator,0.7863,5.6,27.996,43.6
PandaBur,4589,Immortal 3,Flex,0.9125,4.2,22.1009,50.2
Soar,3378,Immortal 3,Flex,1.4,7.5,20.3028,50.5
Wilds,11111,Immortal 1,Flex,1.6429,3.0,44.0,44.0
Jacket,1of1,Immortal 3,Flex,1.3887,5.6,32.1542,54.8
dashpack,4980,Immortal 3,Duelist,1.1557,2.6,33.4544,44.6
kev1n,2221,Immortal 2,Sentinel,0.9622,4.4,28.4875,38.4
Sherlock Strange,NA1,Bronze 3,Initiator,0.5687,5.6,11.1299,41.0
HOON,SEXY,Immortal 3,Duelist,1.0994,5.0,32.3998,45.6
Moon,100,Radiant,Duelist,1.3925,5.0,22.0267,55.2
rafraft,YEP,Immortal 3,Flex,1.0668,7.0,14.5895,37.8
Afridi,1988,Immortal 3,Flex,0.8609,9.4,25.1438,61.6
shiro,RZ1,Immortal 3,Duelist,1.0007,4.8,30.9006,55.0
whitr,UofA,Radiant,Controller,3.4485,3.8,10.303,26.2
GT Ezra,Aims,Immortal 3,Initiator,1.3605,3.0,30.2249,26.0
cheatcode,AIMER,Radiant,Initiator,1.6018,8.2,14.2242,34.4
feigned,jam,Immortal 2,Sentinel,1.0594,5.0,22.9853,44.2
Nubstir,1337,Radiant,Initiator,1.2381,5.2,19.3067,47.2
Sakouna,heph4,Diamond 3,Flex,1.1783,2.2,15.2683,59.4
starry,yikes,Immortal 3,Sentinel,0.8317,3.0,30.406,37.2
Akuma,Main,Immortal 2,Flex,1.2482,5.2,7.8403,18.4
Trill,FVCK,Diamond 2,Sentinel,1.1985,3.8,15.8447,25.4
MIZ P I G G Y,STL,Radiant,Controller,1.8042,5.0,23.4634,45.2
FS AztKk,MEXX,Immortal 3,Flex,1.0675,6.4,17.0046,57.8
Rikka,sigh,Immortal 3,Initiator,1.451,3.8,6.4516,7.2
Aurora2k,2000,Immortal 1,Controller,0.8143,7.4,22.918,53.8
bend,DPS,Immortal 3,Flex,1.369,10.0,17.5901,59.0
hello kitty,ruff,Immortal 1,Flex,0.87,8.4,25.9278,52.4
EMBR,idc,Immortal 2,Duelist,1.0121,6.4,23.1332,55.6
IcewalloCmen69,3863,Immortal 3,Controller,0.7661,9.2,20.2058,67.6
GageTheDog,0000,Immortal 3,Initiator,0.7137,5.0,4.9355,28.8
ABGS Are Cool,ABGS,Immortal 3,Duelist,1.1615,3.4,27.674,43.4
elvis,swayz,Immortal 3,Flex,1.0,3.0,36.8421,56.0
F8less,7889,Platinum 2,Duelist,1.8209,3.2,33.7221,32.6
astn,2000,Platinum 1,Flex,2.3437,3.8,18.1315,16.4
COL Governor,2143,Radiant,Flex,1.8966,2.4,18.766,37.0
lukie,sosa,Immortal 3,Controller,0.8923,7.2,24.1676,58.6
bliSツ,1337,Immortal 3,Flex,0.9565,7.0,16.4646,30.0
STYLESY,YEAH,Immortal 3,Initiator,1.5492,4.2,14.6824,28.6
ryu,lilah,Immortal 3,Flex,0.9243,4.3333,33.5786,42.3333
chez,2620,Immortal 3,Sentinel,1.2785,3.8,25.4103,45.8
Eustass,0730,Immortal 3,Flex,1.01,4.6,18.5974,53.6
SQ Crunchy,cm360,Radiant,Flex,1.1415,8.2,32.2777,66.4
POOLFLOATY,peeEF,Immortal 3,Controller,0.9876,5.6,17.4832,50.2
Yehoshua,tyty,Immortal 1,Duelist,0.7852,6.8,17.4877,50.6
KeepinItCool,0001,Platinum 3,Flex,1.693,5.0,38.3333,30.0
Bryz,KatBF,Immortal 3,Initiator,0.9677,5.4,24.6093,57.6
Elijah,2690,Immortal 2,Flex,NaN,NaN,NaN,NaN
stinky,yelp,Platinum 2,Duelist,0.8552,3.6,6.7675,10.6
Hero,Chan,Immortal 3,Flex,1.4124,2.8,25.4872,41.4
g0n,vN1,Immortal 3,Flex,0.8611,4.0,29.1126,68.0
gozo,iwnl,Immortal 2,Sentinel,1.52,3.2,23.6677,42.0
bam,333,Immortal 3,Flex,1.0108,7.8,15.2257,56.6
zogratis,12345,Radiant,Sentinel,1.2484,4.2,31.9275,36.4
Stori,idc,Immortal 3,Flex,1.0866,5.4,35.5094,48.6
FUNHAVER PEPPA,FUN,Platinum 2,Duelist,1.3154,4.6,15.175,36.4
zoady,solo,Radiant,Duelist,1.4022,3.2,25.2233,45.0
TOP babysoap,sud,Immortal 3,Controller,1.666,5.8,11.0107,34.0
Okote,ntc,Immortal 3,Flex,1.2652,4.6,18.5015,53.8
m1lfluver,milf,Gold 3,Initiator,1.2932,5.2,11.6813,12.6
Renzy,Ren,Immortal 3,Sentinel,1.2756,6.0,22.3848,46.4
Zaduro,sour,Immortal 1,Flex,1.4717,2.4,14.7083,22.0
cephEboylver7269,cephz,Immortal 3,Flex,1.0882,8.5,33.1609,35.5
perseverance,LSW,Immortal 2,Flex,0.9304,11.0,25.0379,61.6667
sensei死,Peace,Immortal 2,Duelist,1.1362,3.0,27.3641,57.6
Shun,4674,Platinum 3,Flex,1.0625,1.0,51.8519,28.0
El Diablo,CLAPD,Silver 3,Initiator,0.8398,4.4,3.6364,13.6
GetMeOut,NoJk,Gold 2,Flex,1.7384,5.8,15.2975,33.2
BM gabini,000,Immortal 2,Flex,0.7439,7.8,18.2034,57.8
Pajko,4387,Immortal 3,Sentinel,1.5119,5.0,17.7558,40.0
voblit,008,Immortal 1,Flex,1.0382,7.2,12.2882,45.8
Merkx,GOAT,Diamond 3,Initiator,1.144,2.4,24.9417,31.8
COL Governor,2143,Radiant,Sentinel,2.3144,1.6,24.6483,47.2
Ziehm TTV,2121,Immortal 3,Duelist,1.1601,4.6,38.5611,46.8
Stanknibs,NA1,Silver 1,Initiator,1.0409,5.0,8.1081,11.4
head toucher ttv,우상범,Immortal 3,Controller,1.2259,9.6,17.9212,63.4
Kuunai,ezpz,Immortal 3,Duelist,0.9846,3.6,23.1441,67.6
Close3Bumper,3752,Silver 1,Flex,1.707,3.0,29.688,24.2
jess,yes,Silver 3,Flex,0.8235,7.0,40.0,36.0
EMP velo,6ft5,Immortal 2,Flex,1.678,3.6,24.3108,45.8
dion,yum,Immortal 3,Controller,0.8992,7.2,12.4161,27.0
xprt,7321,Radiant,Initiator,1.4001,7.8,14.9703,42.6
Knights Frosty,tap,Immortal 3,Flex,0.7533,1.8,11.2121,22.2
C9 Xeppaa,XITER,Radiant,Initiator,1.0625,10.6,21.7116,70.8
XP3,1337,Diamond 1,Flex,1.0943,5.4,13.6199,44.4
Hkap,Arab,Radiant,Initiator,1.3037,5.2,19.733,48.6
Stewie2K,NA2K,Immortal 3,Duelist,0.862,4.4,28.9366,61.8
