User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
point god,dimes,Immortal 3,Duelist,1.0183,5.8,34.0994,45.6
nokE,TTV,Immortal 3,Duelist,1.0922,3.6,29.1059,60.6
wedid,0702,Radiant,Controller,1.3888,8.4,36.6305,66.8
dom toretto,420,Silver 1,Flex,0.5325,6.6,8.2544,16.2
noturgothgfriend,2678,Bronze 3,Flex,0.8835,3.4,11.8967,14.2
Tayz,IWNL,Immortal 3,Duelist,1.148,4.8,14.4674,59.4
xprt,7321,Radiant,Initiator,1.4001,7.8,14.9703,42.6
Krowbar Jones,NA1,Platinum 2,Controller,1.0186,5.8,4.0163,18.4
Knights Frosty,tap,Immortal 3,Flex,0.7533,1.8,11.2121,22.2
C9 Xeppaa,XITER,Radiant,Initiator,1.0625,10.6,21.7116,70.8
TE bless,AR7,Radiant,Flex,1.556,3.0,7.6923,8.4
Hkap,Arab,Radiant,Initiator,1.3037,5.2,19.733,48.6
BBG khanartist,dunya,Radiant,Flex,1.073,4.2,31.0523,49.2
TSM FTX Dialists,777,Immortal 1,Sentinel,1.4419,3.0,29.9092,41.6
GenG PureR,260,Immortal 3,Duelist,1.9231,3.4,16.6387,21.0
SEN Rawkus,1337,Radiant,Flex,1.1443,5.8,18.8259,46.2
JGAR,4609,Platinum 1,Flex,1.1013,7.2,10.853,34.0
bigshtter,same,Immortal 3,Duelist,1.0408,2.2,30.5741,48.6
Heero,Rin,Immortal 3,Controller,1.2338,4.8,29.1825,51.2
ino,000,Radiant,Initiator,0.8011,5.2,31.1133,52.4
RORONOA ZORO,4444,Diamond 1,Duelist,1.2318,5.6,22.8718,36.4
Sell,8091,Platinum 2,Sentinel,1.4439,6.4,13.725,25.6
verilyx,BMG,Immortal 3,Duelist,0.8479,4.6,21.5865,55.2
NotElijvh,001,Immortal 3,Initiator,1.1993,7.2,18.5413,55.0
Potatoe,0001,Immortal 3,Flex,1.1438,2.8,12.2043,19.0
Styles,4095,Immortal 2,Flex,1.0992,4.8,0.0,0.0
fluicide,001,Immortal 3,Initiator,1.076,4.2,25.7877,54.2
light,edits,Immortal 3,Initiator,1.1406,4.8,20.1146,43.4
idnPL,seif,Radiant,Flex,1.2071,5.4,5.6746,23.2
1 800 Psyduck,NA1,Radiant,Flex,0.9355,2.6,37.7339,43.6
NXBLE,playa,Immortal 3,Duelist,1.2467,3.2,22.046,48.2
ari,bang,Diamond 1,Flex,0.7787,4.4,30.0166,39.0
Falafel Phil,4510,Silver 1,Duelist,1.0401,4.2,18.8729,39.8
hybrid,100,Radiant,Flex,1.2839,3.6,39.574,32.2
OneBuncK,NA1,Silver 1,Initiator,0.7711,4.6,12.6679,46.8
NukeProphet,AIM,Immortal 3,Duelist,1.1309,5.4,22.5822,54.2
piero,RAT,Radiant,Controller,1.6031,3.2,21.3246,35.0
FluffyBorkenz,5786,Diamond 2,Duelist,1.2052,2.0,7.1377,15.2
sati,ily,Immortal 2,Duelist,1.585,3.0,14.5769,20.0
WARDELL,OPAC,Radiant,Flex,1.0424,4.0,34.2154,39.8
LG moose,E30,Radiant,Sentinel,1.0298,5.2,22.9051,58.6
kev,FPS,Immortal 3,Duelist,1.1047,4.8,27.2972,56.2
jwr,washd,Radiant,Duelist,1.4359,5.8,27.0887,61.0
OneShott,69420,Platinum 3,Duelist,0.6482,4.0,7.2078,18.0
joshymoshy,NA1,Immortal 3,Duelist,1.0566,4.4,32.0279,62.2
Pasta,50010,Immortal 1,Initiator,1.5254,5.0,0.0,0.0
Ethan,7876,Immortal 2,Duelist,0.6216,3.8,22.0591,35.4
stryder,hiryu,Immortal 3,Duelist,1.205,4.0,15.7559,48.2
Tays,uwu,Immortal 3,Duelist,1.8553,2.0,34.4217,32.4
NLaF7,131iq,Radiant,Flex,1.0493,4.4,0.0,0.0
Ari,skely,Immortal 3,Controller,0.9776,5.2,13.3105,28.6
Grim,main,Radiant,Flex,1.7398,2.4,10.114,10.4
ウルトラ,iwnl,Immortal 3,Sentinel,1.2426,2.0,20.0586,27.8
Яaze,444,Platinum 2,Duelist,1.2411,4.8,24.41,46.0
NickChampz,dawa,Immortal 2,Controller,1.3374,7.4,30.4815,60.4
vora,zzz,Radiant,Initiator,1.0349,8.0,23.3801,50.0
RICE,MYLF,Gold 1,Flex,1.0113,5.0,12.1667,22.6
SnakeEyess,6666,Immortal 2,Duelist,1.048,1.6,13.3333,15.0
yvaw,5050,Silver 3,Initiator,0.8702,4.0,9.5242,25.4
JeckFPS,XDDDD,Radiant,Sentinel,1.0245,4.6,21.3632,42.4
Joth,8176,Gold 3,Duelist,1.0639,5.4,0.0,0.0
koisu,yoko,Immortal 3,Controller,1.1577,5.2,19.867,54.2
Dyno,0001,Radiant,Duelist,1.4418,3.6,24.5122,45.8
MouseyTube,2101,Immortal 1,Initiator,0.6501,6.2,29.7253,55.0
Chidoriouttheass,9183,Gold 2,Duelist,0.924,5.0,14.0132,28.6
Racoone,TTV,Radiant,Controller,1.0145,6.0,18.0399,48.2
Angel,2256,Platinum 2,Duelist,1.1445,4.8,14.9613,46.4
Top,kouki,Immortal 3,Flex,0.7882,4.2,12.6374,20.8
TAMU Nabber,NAB1,Radiant,Initiator,1.7672,8.2,14.7453,46.6
Winz,8288,Platinum 3,Controller,1.0211,3.2,10.8305,28.2
Silenx,111,Immortal 2,Flex,1.1497,8.6,31.1785,60.0
Cruelty Chef,bdy,Immortal 3,Sentinel,0.8708,4.4,15.6177,43.8
pandez,esdea,Immortal 3,Duelist,1.2068,5.4,22.177,54.2
horror,0002,Radiant,Sentinel,1.038,4.2,16.286,40.8
Dopai,NA1,Immortal 3,Sentinel,1.3565,6.2,21.3768,54.8
Ramadan Kyrie,sageu,Immortal 3,Sentinel,1.1639,4.2,15.2276,44.0
dominic,AKT,Radiant,Duelist,1.4786,3.8,12.1185,34.8
NolbertoEZ,TTV,Radiant,Flex,1.5539,3.6,25.393,54.6
PloopNugget37,bawlz,Immortal 3,Flex,0.7818,5.2,12.134,42.8
dyL,Brick,Immortal 1,Sentinel,1.116,4.2,14.0319,20.6
T1 steel,shaft,Radiant,Duelist,0.9877,9.0,19.0931,57.4
wabisabi,0001,Platinum 1,Controller,1.0987,5.6,15.0317,34.8
krZ,QQQ,Immortal 3,Flex,0.7238,7.0,25.6936,61.4
kei,simp,Immortal 2,Flex,1.2108,7.0,19.2013,42.0
terrorist,halal,Diamond 1,Duelist,1.0543,2.4,11.4924,30.2
Nord,VPN,Radiant,Controller,1.1276,4.8,17.9836,36.0
Sleepy Trusty,Niss,Radiant,Sentinel,1.019,4.4,31.4055,33.0
chanse,yuna,Radiant,Sentinel,0.8376,2.6,19.0491,27.4
Wildfire,alter,Immortal 2,Initiator,1.1182,7.4,31.1386,76.6
Arkhram,2329,Immortal 3,Initiator,1.6017,3.8,17.249,26.6
nmgreen,1211,Immortal 1,Flex,0.9734,4.2,31.2963,52.8
teach,er000,Immortal 3,Flex,1.1897,3.8,9.2991,14.6
favs,nnnn,Radiant,Flex,0.9364,8.4,26.7369,36.4
mezology,NA1,Radiant,Duelist,0.6757,6.0,13.0223,46.2
Mlazz2,6159,Gold 2,Duelist,0.6507,5.0,3.8596,6.0
RE maju,pjira,Immortal 3,Duelist,1.3688,4.0,9.4922,34.0
rumys,sofi,Immortal 3,Duelist,1.4381,1.4,19.1808,13.0
far,yur,Radiant,Flex,1.0309,2.8,32.411,50.2
Osias,1212,Radiant,Flex,1.4002,6.0,23.8772,57.4
Alita,1520,Platinum 1,Flex,0.8039,3.0,12.0,23.2
TooRice,domo,Immortal 3,Initiator,1.3398,5.0,14.6853,36.4
MakeOutHill,Otf,Gold 3,Sentinel,0.8099,3.2,0.0,0.0
BSU Tn,BSU,Radiant,Duelist,0.9564,2.8,22.8571,22.8
SEN TenZ,0505,Immortal 3,Duelist,0.9851,3.4,32.2494,42.0
sdg,slt,Gold 2,Controller,0.7939,6.0,19.0552,45.2
Tazzy,TTV,Immortal 3,Controller,1.0275,7.8,23.9967,54.6
SATCHEL DEMON,RAZE,Immortal 3,Duelist,0.6984,3.2,9.9292,46.0
tnzo,1os,Radiant,Duelist,0.9659,4.0,18.8903,34.8
kro,6608,Platinum 2,Flex,1.0986,3.6,11.5438,38.6
NORI Kazuha,Val,Immortal 3,Controller,1.1684,5.0,10.1398,29.6
Cruelty Baez,MEX,Immortal 1,Flex,1.0358,2.2,30.2894,36.0
stallion,9999,Radiant,Flex,1.14,6.8,25.0062,73.0
shin,002,Immortal 3,Duelist,1.3641,3.8,20.8284,40.8
Bad Cheater,AIM,Radiant,Duelist,1.3029,5.4,28.0171,67.4
GaryDaGecko,bettr,Silver 2,Controller,1.3133,4.2,11.2155,20.8
nos,kuma,Radiant,Flex,0.9781,6.8,21.9677,49.2
Branethym,BBM,Silver 3,Flex,1.2242,5.8,11.9771,31.0
kev,FPS,Radiant,Duelist,1.1889,4.0,30.5839,61.2
100T stellar,bden,Radiant,Initiator,1.1148,4.6,11.0973,32.2
그림자군주,LFT,Immortal 3,Duelist,0.9136,3.8,29.4076,46.4
Chimmy,69420,Immortal 3,Flex,1.2942,3.2,21.0842,57.4
NAUGHTY,BOI,Diamond 1,Sentinel,1.7283,1.4,12.2623,10.4
Olly,8661,Platinum 3,Duelist,1.2773,4.4,24.3582,37.0
JustSauce,420,Platinum 2,Initiator,0.8958,3.8,21.5062,29.4
COL Governor,2143,Radiant,Flex,1.9637,4.8,10.4538,23.0
XSET zekken,5193,Radiant,Duelist,1.0854,4.2,25.1776,28.4
Reflex,bot,Radiant,Initiator,0.8025,4.0,35.8824,33.8
COL Maddie,GX3,Immortal 3,Controller,1.0872,9.0,26.3477,66.2
MayorOfPoundtown,NA1,Silver 3,Sentinel,1.0761,9.0,0.0,0.0
zurc,han,Radiant,Initiator,1.1,9.0,31.6439,53.0
huddy,xoxo,Diamond 3,Flex,0.7806,3.8,7.1064,15.6
FS MITED,1912,Immortal 3,Controller,0.8983,8.0,28.316,68.8
itsTibs,8010,Immortal 3,Controller,0.7936,5.2,16.0977,44.4
