User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
CaptainDragonfly,corps,Bronze 2,Initiator,1.4151,5.2,5.222,41.2
Goaty,9392,Bronze 2,Initiator,0.6696,4.0,38.4358,29.6
Trilogy,333,Gold 3,Sentinel,1.7733,0.6,20.4612,22.0
caylaッ,1414,Bronze 1,Flex,0.587,2.6,7.9614,16.4
Phuc,Yeah,Silver 1,Controller,0.9501,6.8,16.9029,47.2
Subhan,999,Silver 1,Flex,1.1552,4.4,8.6962,14.2
lotus bloom,1058,Gold 1,Flex,NaN,NaN,NaN,NaN
Virtual,0069,Bronze 2,Duelist,1.5402,3.6,20.1152,58.2
punkie,7988,Gold 1,Duelist,0.9886,4.0,22.7172,41.6
Keshii,3909,Iron 2,Duelist,0.795,3.4,7.6364,1.8
Kabeta,NA2,Gold 1,Flex,1.0257,6.6,36.9015,46.8
katiiamoto,seoul,Bronze 3,Flex,1.7086,5.0,18.8333,41.8
carrot,vegie,Silver 1,Flex,0.9501,4.4,10.851,43.0
zamirf6,2471,Bronze 2,Duelist,0.9027,4.6,15.3267,34.4
yog,QTP0,Bronze 2,Duelist,1.0893,5.4,12.38,34.0
lemon jar,NA1,Iron 3,Duelist,0.9383,3.0,5.1042,9.8
epsi,0112,Silver 1,Initiator,2.3162,3.0,23.2872,15.8
Silevern,NA1,Silver 3,Flex,1.0309,5.2,10.6298,25.6
Sakuraj1ma,Mai,Iron 2,Sentinel,0.5297,5.4,7.8668,18.2
DD11,7229,Bronze 2,Duelist,1.0731,3.0,18.3825,32.8
Lupin99x,2470,Iron 2,Duelist,1.0567,0.8,5.7552,9.6
TheNameIsZion,8888,Silver 2,Duelist,1.2188,3.6,13.0651,24.4
oneillf6,5185,Bronze 3,Duelist,0.7554,3.8,4.9123,7.0
CautiousHero,885,Iron 3,Controller,1.17,2.8,6.1905,8.0
lemon,hers,Gold 3,Duelist,1.0714,3.2,16.3511,6.6
dez,qtt,Diamond 2,Duelist,0.6238,3.0,12.5714,25.2
Wiggy ツ,2021,Gold 1,Duelist,0.8689,2.0,13.2843,26.8
KappaTr0ll ,NA1,Bronze 3,Duelist,0.5964,4.8,5.0198,25.8
VoidAnubis,3498,Bronze 2,Duelist,1.4369,5.4,13.2604,47.0
STEVE,BML,Bronze 1,Initiator,0.8849,6.6,14.061,42.0
Helioz,FaZe,Bronze 3,Flex,2.0245,5.4,13.5183,32.4
ZoomGaming,8074,Silver 2,Duelist,0.9618,6.0,8.12,14.8
Sensational,8338,Bronze 3,Duelist,0.8205,6.0,4.2078,8.8
Haro,Haroo,Gold 1,Flex,0.9642,7.8,10.1388,37.2
KBVPR0,NA1,Gold 2,Flex,0.8421,4.8,10.5026,48.6
Beep,4105,Silver 1,Flex,1.0278,5.8,16.4706,7.0
R17,2017,Silver 1,Flex,1.5047,4.4,21.6322,62.2
Hollow,Mudaa,Bronze 2,Flex,NaN,NaN,NaN,NaN
nooch,22517,Bronze 2,Initiator,0.6552,8.0,16.8542,58.4
vipersmash,420,Silver 1,Duelist,0.9805,2.8,11.2446,40.0
katasaurious,2441,Bronze 2,Flex,0.6873,4.6,11.5408,41.4
egebie,69420,Bronze 3,Duelist,1.6522,5.6,11.2542,33.2
watermelon,6184,Bronze 2,Flex,0.9918,7.6,14.1283,39.4
BobaTea,3333,Iron 1,Flex,0.7842,2.6,6.4758,34.8
Orgalorg,ooo,Silver 3,Flex,0.8732,5.8,10.4563,54.4
ShadowNeko,DFz1,Silver 1,Sentinel,0.7679,2.8,8.4826,32.6
Interstellar,3261,Bronze 1,Initiator,1.112,3.8,11.0328,24.8
Sortah,7578,Silver 3,Flex,0.8936,4.6,16.0494,31.2
Bread,9571,Iron 2,Duelist,0.599,4.8,14.5009,52.6
Jinzzz,8231,Bronze 2,Duelist,1.5717,2.2,13.7632,15.8
Soulfi,2780,Bronze 2,Flex,1.275,2.0,22.9231,24.0
Blue,Deez1,Silver 1,Duelist,0.7597,2.8,9.229,35.0
Ronoldo,0000,Bronze 3,Controller,0.7954,6.4,7.0585,55.6
Ghosty,IMO,Gold 2,Duelist,2.7581,2.0,14.8907,31.2
BakiHanma,2168,Bronze 3,Duelist,1.0664,4.0,11.8986,26.8
lumpia,rolls,Silver 1,Flex,0.7615,5.6,10.8205,34.4
Mythical,8342,Silver 3,Flex,1.5317,5.4,10.0105,25.0
Twitchy,Mas,Silver 1,Sentinel,0.8715,3.4,13.4059,42.0
sylvie,ratio,Silver 1,Sentinel,1.3808,2.4,17.0053,35.2
Vakugainzz,NA1,Silver 3,Flex,1.3278,6.4,7.788,28.8
1Logic,NA1,Bronze 2,Sentinel,0.6065,3.8,9.4754,15.0
themandem,3802,Iron 3,Flex,0.9365,3.2,11.7649,31.2
ザダークシャドウ,Cold,Gold 2,Flex,0.8822,3.6,11.6667,12.0
Giorήo,Mista,Bronze 3,Duelist,1.5955,4.4,13.5439,31.4
Ghosty746,7135,Iron 2,Sentinel,1.1637,6.0,11.638,31.0
Duga,0000,Bronze 1,Flex,0.8033,4.4,3.3333,13.8
Lunix,7568,Gold 1,Controller,1.2116,5.2,14.5612,22.6
TurtleDuck,1601,Iron 3,Flex,0.9501,2.4,15.091,19.8
KillerWasp365,6900,Bronze 3,Flex,1.4069,2.8,21.8243,33.2
LilSoup,SOUP,Silver 1,Flex,0.8686,4.2,8.3082,21.6
Zed,Dino,Bronze 2,Duelist,1.1962,5.4,17.5569,25.0
Kevin,hglol,Iron 3,Flex,0.6136,2.2,13.3639,13.2
isolixxxx,2563,Gold 2,Flex,1.0487,7.8,7.6162,18.4
uncle female,8th,Bronze 2,Flex,0.897,5.8,14.2072,21.8
MuscledGamer,80085,Iron 3,Initiator,0.9799,1.8,12.2071,21.8
perma depressed,2402,Silver 3,Duelist,0.9267,1.6,17.0655,16.2
phobeaniepanini,oops,Bronze 1,Initiator,0.9655,6.0,9.7642,21.4
Ryan,4Fun,Bronze 2,Initiator,1.7817,6.8,9.6202,27.6
OJesus,NA1,Silver 1,Controller,0.8161,4.2,12.739,39.0
6POTATO9,6969,Bronze 3,Sentinel,1.6348,6.0,11.8011,12.6
Alex,CR69,Platinum 2,Initiator,1.5169,5.6,20.3701,31.0
Rekselix,NA1,Bronze 2,Initiator,1.5433,1.8,15.86,13.0
totoro,calm,Gold 2,Flex,1.2239,9.6,0.0,0.0
Mxrcy,101,Bronze 2,Controller,1.0316,3.0,11.4079,23.0
gr0undsc0re,NA1,Bronze 1,Flex,0.8988,6.8,4.4502,16.6
SKILLEDBULL,0205,Bronze 1,Duelist,0.8218,4.6,10.0871,22.4
NoHeadShots,1560,Bronze 1,Duelist,0.777,4.4,12.4849,22.2
moosejG,NA1,Bronze 2,Flex,0.9723,6.0,2.4117,12.6
hoofpapa,9421,Bronze 2,Controller,0.7878,4.6,22.8352,34.0
cup a fart,4269,Silver 1,Duelist,0.7392,5.5,8.1039,23.25
wet,4444,Gold 1,Duelist,2.03,1.2,29.5223,12.0
Eggdeath,1234,Iron 3,Duelist,1.5867,1.6,9.2071,19.2
xDarkTriickz,9914,Bronze 1,Flex,1.4131,4.0,8.1623,31.4
JugWarrior,2460,Bronze 1,Flex,1.0191,6.8,9.8642,25.8
ItzKyan,3848,Bronze 1,Controller,0.7202,3.2,5.641,20.8
NCoal,chikn,Bronze 2,Duelist,2.45,1.0,7.5478,22.0
Mrbombbuds,5764,Bronze 1,Duelist,1.4541,3.8,20.9969,53.8
KR0NIX,1234,Bronze 2,Duelist,0.7511,1.0,18.261,16.6
Bubblesthabub,7952,Bronze 3,Initiator,1.1251,4.6,14.8209,37.8
ren,FEQG,Silver 3,Controller,0.9499,5.8,13.2884,33.2
born2ball2001,9320,Silver 1,Duelist,1.0531,6.0,10.1034,48.4
Irabej,3843,Bronze 1,Initiator,0.6417,4.6,11.3628,21.4
C4ndz,NA1,Bronze 2,Flex,0.8314,6.0,18.7189,30.6
ever,443,Bronze 3,Initiator,1.0894,5.8,9.9488,55.4
kubs,5705,Silver 3,Flex,1.073,10.2,0.0,0.0
Kitten,Soup,Silver 2,Flex,0.5474,4.2,5.9702,17.0
LeBeasty,shush,Gold 3,Duelist,1.1202,4.6,7.7976,18.0
DeceasedSushi,Sushi,Iron 3,Controller,1.5295,3.6,7.7959,21.8
fairy,andre,Gold 1,Duelist,1.9026,3.4,19.7353,41.0
MasterBigs,2672,Silver 2,Controller,1.0921,2.6,11.4274,35.0
BakaVaca,3262,Iron 3,Flex,NaN,NaN,NaN,NaN
HalloVoid,1458,Iron 2,Sentinel,1.1736,3.0,25.0723,22.8
