Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
kitten 1,rawrz,10.0,Gold 1,51.2,31.7685,Duelist,1.2882,2.2
UltWholesome,1977,6.0,Bronze 3,41.0,14.0,Flex,1.0833,7.0
ChicknMcNuggy,NA1,6.0,Bronze 3,,,Flex,,
ItsArav,5802,7.0,Silver 1,37.0,13.7931,Flex,1.1429,4.0
Drgrimftw,NA1,6.0,Bronze 3,51.0,5.6338,Flex,0.5,10.0
TikTok DarwinFps,Yoru,,NaN,29.4,10.9439,Duelist,0.927,4.0
AbrAxas,1731,5.0,Bronze 2,26.0,8.1915,Flex,1.2778,5.0
bruvren,2265,16.0,Diamond 1,,,Flex,,
carrot,vegie,9.0,Silver 3,22.4,7.5639,Initiator,0.8337,4.0
Chico623,NA1,5.0,Bronze 2,20.2,25.1663,Duelist,0.3866,4.6
Ayuya,0999,16.0,Diamond 1,51.2,25.8712,Duelist,1.5427,2.6
Garmoth,9433,5.0,Bronze 2,25.2,10.2709,Duelist,0.7208,3.4
His sage,809,,NaN,17.2,9.2061,Initiator,0.4842,1.4
KEVIN311291,7455,3.0,Iron 3,3.8,0.8,Flex,0.8221,4.4
SpoopiWaffels,4418,12.0,Gold 3,32.4,16.257,Duelist,0.8888,8.8
Salature,4410,6.0,Bronze 3,33.4,9.1158,Flex,1.2699,6.2
Abe,LAHWF,10.0,Gold 1,39.0,24.7608,Sentinel,1.4567,6.0
LuxuriousLime,3712,7.0,Silver 1,22.0,10.3448,Flex,2.0,7.0
ConsumerOfFoods,2459,12.0,Gold 3,43.4,13.9915,Sentinel,1.2578,3.2
DTH M1CR0W4V3,XAXA,4.0,Bronze 1,16.2,18.3123,Sentinel,0.8235,2.6
Waffle,6656,6.0,Bronze 3,39.0,14.8313,Flex,1.0647,5.4
JBDyo123,2233,10.0,Gold 1,25.2,8.9695,Initiator,1.6768,2.8
Sandy0,9882,5.0,Bronze 2,,,Flex,,
BananaBus,3756,,NaN,16.0,15.6712,Duelist,1.8762,2.4
Jdawgg1,6948,,NaN,10.0,0.0,Flex,0.2,0.0
Arysui,8561,7.0,Silver 1,16.2,12.9489,Controller,0.95,2.4
WallOfWind,NA1,8.0,Silver 2,0.0,0.0,Controller,1.1595,6.0
TnC,9941,10.0,Gold 1,51.6,23.8128,Sentinel,1.5114,3.4
ItzKyan,3848,6.0,Bronze 3,23.2,9.4337,Duelist,1.3119,3.2
Interstellar,3261,6.0,Bronze 3,24.8,11.0328,Initiator,1.112,3.8
telescopic45,7243,4.0,Bronze 1,4.4,8.3478,Controller,0.5105,3.0
banana anna,7012,5.0,Bronze 2,24.0,9.2462,Flex,0.5586,3.0
Jepoyrader,NA1,9.0,Silver 3,23.0,8.1081,Flex,0.4667,5.0
Binns,GUSH,10.0,Gold 1,29.4,18.9593,Initiator,1.6588,5.4
Ayuyas kitten,mommy,7.0,Silver 1,35.6,9.2088,Sentinel,0.9238,4.6
Shammy,dilf,13.0,Platinum 1,27.8,21.6424,Initiator,1.8346,3.0
UThinkUGotGame,5598,,NaN,,,Flex,,
stevenfucs,1595,11.0,Gold 2,28.8,19.5301,Sentinel,1.9471,2.6
Qui4,69420,9.0,Silver 3,43.0,21.3693,Controller,0.9349,5.4
Sheeeeesh Man,8619,7.0,Silver 1,16.4,12.1067,Duelist,0.9496,3.4
oofily,1254,4.0,Bronze 1,9.0,6.6667,Flex,0.7778,3.0
i found her,3954,,NaN,35.4,23.1965,Initiator,1.1213,4.2
RiptideGI,6935,11.0,Gold 2,,,Flex,,
thesmilingaxo,8657,9.0,Silver 3,,,Flex,,
Zombiefiedfreak,NA1,,NaN,22.6,10.4663,Initiator,2.0022,5.6
slumpッ,val,,NaN,12.8,10.8908,Flex,2.9667,1.0
Bleric,NA1,9.0,Silver 3,50.8,13.2508,Initiator,1.2555,8.0
Merci5124,NA1,,NaN,2.0,17.3913,Flex,0.2,3.0
Club Penguin,LMAO,8.0,Silver 2,0.0,0.0,Duelist,1.1467,8.0
NeoLeo,7613,6.0,Bronze 3,13.6,11.857,Sentinel,0.7287,4.2
Kabeta,NA2,12.0,Gold 3,50.5,18.3578,Flex,0.7593,6.0
NormalNick234,6792,4.0,Bronze 1,20.4,12.4463,Duelist,0.8577,2.4
Lenneth,1993,8.0,Silver 2,23.0,14.3177,Duelist,2.2537,2.75
1800FREEPIE,5751,10.0,Gold 1,61.0,10.8911,Flex,2.0,8.0
Shell,Nice,12.0,Gold 3,21.2,34.4405,Duelist,1.304,2.6
Jitzera,6969,14.0,Platinum 2,,,Flex,,
SolarSpade,Fishy,12.0,Gold 3,,,Flex,,
Flashsaba,9252,,NaN,32.6,18.311,Flex,1.0896,5.0
R E M J O B,7601,6.0,Bronze 3,,,Flex,,
BobaTea,3333,3.0,Iron 3,23.2,7.2692,Flex,1.8634,2.2
oolong milk tea,simp,6.0,Bronze 3,23.0,14.82,Flex,1.2763,5.8
ThreadedOcean,NA1,6.0,Bronze 3,35.6,7.7613,Initiator,0.9635,6.0
Angzelito,6599,7.0,Silver 1,39.6,20.8386,Duelist,1.3819,4.0
BaddieWitaFattie,Bozo,6.0,Bronze 3,21.6,19.76,Duelist,0.9954,3.4
Oscar,3000,15.0,Platinum 3,19.6,17.7829,Duelist,1.6429,2.6
Th3Culprit,1643,6.0,Bronze 3,18.5,6.25,Flex,1.0059,5.0
MommysKitten,peach,10.0,Gold 1,,,Flex,,
ItzShortee,Nuts,6.0,Bronze 3,,,Flex,,
jsaucey1,1372,,NaN,17.2,16.1446,Flex,1.65,0.6
ARC2ARK,1408,,NaN,28.8,6.8662,Duelist,1.0612,5.4
zzy,viper,7.0,Silver 1,,,Flex,,
MCP,777,6.0,Bronze 3,30.0,9.8174,Duelist,1.0647,4.4
Trinity,3436,12.0,Gold 3,42.2,15.6512,Duelist,3.8381,4.4
CookieMonster,Messy,11.0,Gold 2,49.6,7.5612,Controller,1.0313,8.4
cherry,0905,5.0,Bronze 2,41.6,9.1745,Flex,0.7045,2.8
AceOkami,6176,15.0,Platinum 3,22.2,14.0758,Duelist,1.4165,2.8
sixrrs,1445,7.0,Silver 1,34.0,5.0074,Flex,1.2698,2.0
a201l,5059,,NaN,13.2,1.5989,Flex,1.65,3.8
Kizzo,0000,13.0,Platinum 1,50.0,26.3158,Flex,1.2778,2.0
smellieoasis,3333,7.0,Silver 1,17.0,8.8235,Flex,0.3333,2.0
alphasoupinacan,NA1,9.0,Silver 3,22.8,13.8054,Sentinel,0.9216,2.2
GodofDonuts,7767,5.0,Bronze 2,40.6,13.4442,Initiator,0.9667,6.4
lumpia,rolls,9.0,Silver 3,37.2,12.6387,Flex,0.7428,5.2
Shaidenizabot,NA1,,NaN,19.4,10.6826,Flex,0.7365,2.4
StB3rry,2346,4.0,Bronze 1,20.0,7.5472,Flex,0.4444,2.0
Reverb,7944,12.0,Gold 3,27.6,8.6686,Flex,1.2851,7.4
officialrust,3086,6.0,Bronze 3,32.0,17.9487,Flex,2.0,3.0
xxbdxx18,NA1,4.0,Bronze 1,43.6,6.0243,Sentinel,0.7969,4.4
fishcake,9512,,NaN,21.8,4.2002,Controller,0.808,2.6
YORU ONLY,HEHE,12.0,Gold 3,46.0,31.3388,Duelist,1.2999,2.8
tree,4484,9.0,Silver 3,16.0,6.6667,Flex,0.7,10.0
Marky,3781,,NaN,13.2,14.6849,Duelist,0.5829,5.6
Xanoh,0000,6.0,Bronze 3,53.0,6.737,Flex,1.0143,3.5
69420,1896,,NaN,29.25,21.9542,Duelist,3.6055,2.5
Bunger,4393,,NaN,30.8,16.0236,Sentinel,0.9856,4.8
