Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
Mad Dog,HOPE,18.0,Diamond 3,45.8,15.345,Flex,1.456,6.2
YOUR YOU,IMUS,17.0,Diamond 2,50.4,26.591,Duelist,1.2992,4.2
IanKorean,5810,12.0,Gold 3,,,Flex,,
chiefquief,5608,10.0,Gold 1,39.6,16.3264,Sentinel,0.7559,3.2
iibrySun,69420,20.0,Immortal 2,44.0,30.0623,Flex,0.9495,5.6667
charity,0000,17.0,Diamond 2,29.0,27.5799,Flex,0.6071,6.5
Arcimlo,3814,17.0,Diamond 2,49.6,27.719,Initiator,0.7871,9.8
splash,5369,16.0,Diamond 1,24.2,8.7636,Initiator,0.9331,6.8
Bartholomew,123,16.0,Diamond 1,35.4,23.8841,Duelist,1.1042,5.6
killershark7076,free,17.0,Diamond 2,31.2,25.6684,Duelist,0.8877,5.2
breo,0318,19.0,Immortal 1,29.8,33.166,Flex,1.3725,2.2
SaltyKiddo,2022,15.0,Platinum 3,26.8,22.6874,Flex,0.9556,3.0
Achrafou,4676,17.0,Diamond 2,19.2,36.6835,Flex,1.7222,4.2
Fresky,242,16.0,Diamond 1,,,Flex,,
ryan,0531,18.0,Diamond 3,33.2,9.7967,Initiator,0.9299,5.4
xLoverBoiix,4300,5.0,Bronze 2,23.0,7.2727,Flex,0.7143,2.0
4CE Daddy,wh0r3,15.0,Platinum 3,78.0,21.6216,Flex,0.4545,12.0
Frieza,1023,18.0,Diamond 3,37.8,18.1923,Duelist,1.4104,7.0
Yuki,pega,16.0,Diamond 1,,,Flex,,
mrpoopydude,5202,18.0,Diamond 3,56.6,25.3177,Sentinel,0.9958,3.8
Chewybowls,NA1,17.0,Diamond 2,89.0,19.1011,Flex,0.913,10.0
ImBottomFragger,5346,15.0,Platinum 3,38.0,24.6872,Duelist,0.7667,3.6
SoLLUMINATI,FTC,16.0,Diamond 1,44.0,8.9693,Duelist,0.9244,3.8
jucstify,1234,15.0,Platinum 3,36.4,11.3333,Initiator,1.3595,7.0
Himiko Toga,Waifu,17.0,Diamond 2,54.6,10.4264,Controller,0.7614,7.0
XXXPeentaker,1907,14.0,Platinum 2,28.4,18.9828,Duelist,0.6786,5.0
raisin,1026,16.0,Diamond 1,21.0,0.0,Flex,0.6667,3.0
ecco2k,luv1,13.0,Platinum 1,23.6,12.1352,Flex,1.5855,5.4
Raddy,6969,14.0,Platinum 2,31.8,19.6762,Duelist,1.2817,3.6
discombobulate,5541,17.0,Diamond 2,30.6,28.912,Initiator,0.8741,3.4
Her His Cheddar,meow,18.0,Diamond 3,28.6,19.7948,Duelist,1.2126,2.2
chicken butt,meow,19.0,Immortal 1,38.4,26.1762,Duelist,1.1499,4.8
syngin,mommy,16.0,Diamond 1,47.4,20.019,Duelist,0.9157,4.6
SkrrtOny,1754,17.0,Diamond 2,37.2,26.6924,Duelist,1.4738,5.0
Wifi,9912,15.0,Platinum 3,31.2,18.5436,Sentinel,1.0101,8.2
s0eduh,dick2,20.0,Immortal 2,47.4,29.8219,Sentinel,1.201,8.8
romance,1111,20.0,Immortal 2,48.8,18.5664,Duelist,0.9771,3.6
Spirit,SF2,14.0,Platinum 2,51.0,16.6032,Duelist,0.8861,4.8
shah,3303,16.0,Diamond 1,34.2,12.6312,Duelist,0.984,6.4
PeterMinecraft09,goat,13.0,Platinum 1,60.5,24.4056,Flex,1.3938,4.0
GDL AussieHaza,SUNNY,21.0,Immortal 3,17.6,12.327,Initiator,1.1498,3.6
IbZ,ggs,15.0,Platinum 3,47.4,12.5591,Flex,0.9479,5.4
Girth,Quake,17.0,Diamond 2,46.4,18.5232,Duelist,1.0921,3.6
onii chan,2005,11.0,Gold 2,23.0,9.8286,Flex,0.8455,4.4
balloon,fate,16.0,Diamond 1,16.6,9.7,Duelist,0.9035,4.6
SuckleMcBuckle,trash,17.0,Diamond 2,49.0,11.7647,Flex,1.0667,4.0
kyou,0002,17.0,Diamond 2,27.0,20.2313,Flex,1.0613,2.8
zekatsu,addme,10.0,Gold 1,65.0,30.7692,Flex,0.95,9.0
animeweeb69420,weeb,17.0,Diamond 2,36.0,18.6441,Flex,0.9375,5.0
Villiam,8675,17.0,Diamond 2,28.0,30.9641,Flex,1.4372,3.4
jazzypro,NA1,13.0,Platinum 1,46.6,14.7542,Initiator,0.7053,3.2
zch,moody,14.0,Platinum 2,49.2,11.4476,Controller,1.1726,6.6
DBU Miracle,dbu,15.0,Platinum 3,25.8,21.0388,Duelist,1.0836,2.8
TwoiQueue,NA1,16.0,Diamond 1,64.0,14.1414,Flex,1.0,9.0
chupaps,batty,14.0,Platinum 2,38.2,18.8795,Controller,1.2081,3.8
Ling Ling,7721,15.0,Platinum 3,29.8,11.1547,Flex,0.8457,3.4
Ryuqi,TTV,18.0,Diamond 3,39.8,17.707,Initiator,1.3685,5.0
Stuffedchicken1,4477,10.0,Gold 1,0.0,0.0,Flex,0.6786,8.0
Pure,77777,21.0,Immortal 3,48.0,21.5686,Flex,1.1333,3.0
Fear,300k,,NaN,31.8,20.6046,Sentinel,0.5552,3.4
Vichea,KHMR,18.0,Diamond 3,37.4,15.2172,Initiator,0.7995,4.6
Little man Hop,NA1,15.0,Platinum 3,52.0,25.5814,Flex,2.4615,5.0
Jorbeeee,NA1,15.0,Platinum 3,50.4,13.9719,Flex,0.9886,6.0
Drillmaster,33w,16.0,Diamond 1,39.0,32.6431,Flex,1.3881,3.4
rhinorampager,NA1,15.0,Platinum 3,54.8,14.6677,Controller,0.8067,10.2
параллельно,soon,,NaN,74.0,24.904,Flex,1.5263,4.5
coozky,1929,13.0,Platinum 1,3.0,17.6471,Flex,0.0833,3.0
Spicy Chimkin,kim,13.0,Platinum 1,43.8,21.662,Flex,0.8763,3.8
red powerranger,pew,14.0,Platinum 2,40.0,21.6694,Sentinel,0.9645,4.2
Finesse,8631,15.0,Platinum 3,24.2,10.293,Flex,0.7818,6.8
reso1ve,2222,11.0,Gold 2,16.0,10.9024,Flex,0.9783,3.6
eGirl Defenders,Andy,18.0,Diamond 3,48.4,25.8604,Sentinel,1.3959,6.6
GENERAL RADAHN,9579,18.0,Diamond 3,43.0,42.4242,Flex,1.5556,4.0
lamp post24,NA1,17.0,Diamond 2,26.0,26.087,Flex,1.25,2.0
Bosnian4Lyfe,7461,15.0,Platinum 3,44.0,29.6296,Flex,2.2308,4.0
JSH,5453,20.0,Immortal 2,44.4,20.9749,Duelist,1.5944,5.4
dashxddd ttv,bleed,16.0,Diamond 1,26.4,28.5634,Duelist,1.0463,2.8
jetts fatty,fatty,18.0,Diamond 3,30.2,18.1867,Duelist,0.9571,5.2
Jeffreythebest,5520,17.0,Diamond 2,62.0,11.4019,Initiator,1.1678,5.6
Firepanda,9334,14.0,Platinum 2,36.4,17.9168,Flex,1.0398,5.8
tacito,901,19.0,Immortal 1,25.6,19.6505,Flex,1.1109,4.6
OpTic EDP445,jail,17.0,Diamond 2,48.8,17.7265,Initiator,0.9512,5.2
ILostMyWeave,bigpp,15.0,Platinum 3,18.0,18.2372,Flex,0.8315,4.8
crunchytaco26,2626,19.0,Immortal 1,20.6,9.897,Flex,0.9118,7.2
stim,7245,17.0,Diamond 2,49.0,11.3208,Flex,1.0667,9.0
JustinPerson,NA1,15.0,Platinum 3,41.4,18.7569,Initiator,0.6695,7.0
Bald,2498,17.0,Diamond 2,34.6,22.8963,Duelist,0.7631,4.8
Mqsala,percs,20.0,Immortal 2,23.2,12.6525,Flex,1.2791,4.2
tizzle,2647,15.0,Platinum 3,,,Flex,,
cloud,7878,15.0,Platinum 3,39.2,15.705,Duelist,1.1793,3.4
superpiggy36,444,15.0,Platinum 3,24.8,13.0857,Flex,0.7529,4.8
uzui,2345,16.0,Diamond 1,31.4,13.9055,Duelist,0.7359,4.6
Fue2k,999,17.0,Diamond 2,32.0,16.4154,Flex,0.917,3.4
volkano,6998,13.0,Platinum 1,24.2,4.3883,Duelist,0.9852,5.6
Akame,qub,15.0,Platinum 3,37.4,29.6538,Flex,1.5943,3.0
NoneThing,9627,14.0,Platinum 2,36.4,10.7131,Initiator,1.2048,7.2
Wittle Chip,2196,6.0,Bronze 3,37.0,13.3353,Flex,0.9449,4.8
soap,thai,15.0,Platinum 3,49.4,26.1302,Duelist,0.9657,3.4
Ang,7722,14.0,Platinum 2,16.0,16.6667,Flex,0.7143,1.0
Lilstransko,NA1,19.0,Immortal 1,19.8,9.875,Initiator,0.804,4.8
sim,9768,17.0,Diamond 2,52.0,8.3333,Flex,0.4762,11.0
Stephanie,amor,,NaN,,,Flex,,
N199A,7716,17.0,Diamond 2,39.0,19.9348,Duelist,1.4873,4.0
SAGE CAT,urmom,13.0,Platinum 1,54.0,29.3228,Duelist,2.7164,6.8
NE Diablo,no no,17.0,Diamond 2,18.2,19.1203,Duelist,0.718,4.0
noah,meow,18.0,Diamond 3,,,Flex,,
Bronze4Ever,2274,18.0,Diamond 3,62.0,32.1429,Flex,1.25,11.0
maiya,9147,18.0,Diamond 3,36.8,20.2302,Duelist,0.7878,4.0
Legacy,0014,19.0,Immortal 1,35.8,18.9825,Duelist,0.9025,4.4
wes,2468,18.0,Diamond 3,28.0,18.1676,Duelist,0.6819,3.2
Layo,42069,14.0,Platinum 2,37.0,12.1741,Initiator,1.1153,10.2
PyWoo,69420,16.0,Diamond 1,63.0,31.3725,Flex,1.3529,2.0
summa,hell,14.0,Platinum 2,40.6,21.5319,Initiator,1.0083,6.8
KAL,NAE,21.0,Immortal 3,37.6,22.3515,Flex,0.8403,2.4
MercilessShogun,NA1,16.0,Diamond 1,21.2,7.4071,Flex,0.9871,5.8
Titleshott,7528,16.0,Diamond 1,54.0,26.3889,Flex,1.25,4.0
TTT Isobu 磯撫,Bubaa,16.0,Diamond 1,35.4,18.1041,Flex,0.7992,3.0
SettOnMyFace,1898,19.0,Immortal 1,51.0,18.75,Flex,1.5788,9.5
sev,yup,17.0,Diamond 2,12.8,14.7826,Sentinel,1.011,3.6
AQ42,8003,19.0,Immortal 1,28.6,19.1404,Flex,0.784,6.0
xLuXurx69,4431,11.0,Gold 2,33.6,34.0628,Flex,0.8658,3.6
albert,8040,17.0,Diamond 2,38.8,27.3573,Sentinel,1.0208,6.6
HiddenUlt,NA1,17.0,Diamond 2,47.2,26.553,Controller,1.2675,4.2
lightningmcqueen,10101,14.0,Platinum 2,,,Flex,,
Prodii,Prodi,19.0,Immortal 1,33.8,9.3516,Flex,1.7429,5.4
lavender,001,19.0,Immortal 1,18.8,7.529,Initiator,1.1631,5.0
Tony F1,NA1,13.0,Platinum 1,18.0,9.3023,Flex,0.7778,3.0
5L0TH,6231,14.0,Platinum 2,34.8,15.0935,Initiator,1.23,4.8
her jett,0999,16.0,Diamond 1,25.4,12.6376,Duelist,1.344,4.4
Othni,NA1,15.0,Platinum 3,34.6,8.6513,Flex,0.7499,4.6
Sunder,SV1,17.0,Diamond 2,24.2,9.5311,Flex,0.8562,3.0
hypno,BOOMR,20.0,Immortal 2,57.2,18.6244,Initiator,1.4814,6.4
GoldfishBrett,NA1,16.0,Diamond 1,61.0,3.7736,Flex,0.6667,7.0
ItzHayesY,NA1,20.0,Immortal 2,67.5,13.8045,Flex,1.0497,12.5
h3lpless,based,7.0,Silver 1,0.0,0.0,Flex,0.92,4.0
Eaton Dix,69420,14.0,Platinum 2,38.0,22.2244,Duelist,0.7352,5.0
strider,613,14.0,Platinum 2,48.0,18.5185,Flex,0.8667,0.0
Porogami,0617,17.0,Diamond 2,46.8,14.9378,Duelist,1.3583,7.0
skrt,tah,17.0,Diamond 2,29.2,17.2885,Sentinel,0.664,3.8
XSET TenZ,j won,15.0,Platinum 3,,,Flex,,
ilomilo,2003,15.0,Platinum 3,35.2,23.0722,Flex,0.6058,4.6
aziakiara,NA1,16.0,Diamond 1,29.2,8.3531,Flex,0.7467,7.0
Rowley,3245,14.0,Platinum 2,46.0,17.5824,Flex,3.0,7.0
ChoccyyMilk,MOOO,13.0,Platinum 1,6.4,4.6622,Sentinel,0.9317,8.2
khanyzx,0505,15.0,Platinum 3,44.8,33.717,Controller,1.3229,6.0
tea addict,fluff,19.0,Immortal 1,,,Flex,,
Clowd,777,18.0,Diamond 3,53.5,14.9306,Flex,0.8734,7.0
SpiffySpaceCadet,2721,16.0,Diamond 1,27.6,16.767,Flex,1.0777,8.4
Vokezy,1397,18.0,Diamond 3,31.4,17.1794,Duelist,1.342,6.4
bryanguyk,jett,18.0,Diamond 3,62.0,9.7895,Flex,0.7563,6.5
OPAC M3gumi,OPAC,12.0,Gold 3,25.4,28.6411,Duelist,1.8624,1.0
Young Mango,NA1,16.0,Diamond 1,27.8,15.0075,Duelist,1.5803,3.8
Her Jett,2236,19.0,Immortal 1,37.6,24.5967,Duelist,0.9685,3.2
ジャム,2365,14.0,Platinum 2,66.0,21.4286,Flex,0.2353,1.0
GGsweaterTTV,5767,18.0,Diamond 3,55.0,34.375,Flex,1.0,3.0
HummusBay,0001,17.0,Diamond 2,36.2,17.8282,Sentinel,0.8848,4.4
B00tyclapper,6226,14.0,Platinum 2,27.8,22.1305,Duelist,0.9679,2.8
CARRYMEHOME,6171,16.0,Diamond 1,44.0,19.21,Flex,1.3417,4.8
bethany,brank,17.0,Diamond 2,11.2,12.0721,Duelist,0.9055,6.4
patrick,ADHD,15.0,Platinum 3,32.0,7.9182,Sentinel,1.3798,3.8
SwifferWetJETT,oof,17.0,Diamond 2,40.0,21.4286,Flex,1.0,2.0
Joshuwa,NA1,21.0,Immortal 3,10.6,12.5702,Flex,0.97,1.0
YeetTorpid,4696,18.0,Diamond 3,45.8,29.4461,Flex,0.8735,6.2
Matcha,NA1,14.0,Platinum 2,36.8,16.5843,Flex,0.8828,5.0
R3NJOHN,NA1,19.0,Immortal 1,47.5,10.3484,Flex,0.8825,6.5
poopeepoopee,uwu,20.0,Immortal 2,49.0,19.403,Flex,0.6818,10.0
Jamming,6969,18.0,Diamond 3,61.2,18.2297,Flex,1.3529,7.2
CMJP,3516,11.0,Gold 2,9.2,2.0833,Duelist,0.7633,5.8
HaydenDom,0001,16.0,Diamond 1,32.0,21.7481,Duelist,0.7876,2.4
Azn,5222,16.0,Diamond 1,46.2,26.5527,Controller,1.0037,7.8
Burnzzyyy,NA1,18.0,Diamond 3,45.8,19.5917,Duelist,1.2855,3.8
Sarahh,8400,16.0,Diamond 1,49.6,24.9604,Flex,1.7361,6.2
Top1Potato,NA1,15.0,Platinum 3,17.0,14.2857,Flex,1.0,0.0
DJRI,NA1,18.0,Diamond 3,29.0,17.8082,Flex,1.1333,6.0
78 on Gamecube,1027,15.0,Platinum 3,,,Flex,,
viktor vaughn,kdv,14.0,Platinum 2,36.0,13.6231,Flex,1.1434,6.0
i like cat girls,neko,,NaN,36.4,13.9681,Duelist,0.8284,4.4
Yunadeservedmore,NA1,16.0,Diamond 1,1.0,0.0,Flex,0.0,0.0
ahawowaha,NA1,18.0,Diamond 3,54.0,9.5238,Flex,0.5,7.0
chódechoker,jooni,19.0,Immortal 1,55.0,24.5359,Controller,1.2381,10.6
spiffyfish,na2,17.0,Diamond 2,53.0,22.7273,Flex,1.6471,2.0
agma,IlIlI,21.0,Immortal 3,52.4,24.1491,Duelist,0.8244,6.0
Hanabix,DINO,16.0,Diamond 1,58.2,16.6444,Controller,0.914,9.4
bootymuncher,669,16.0,Diamond 1,30.8,19.26,Duelist,0.7829,4.6
CrispJosh9278,FORT,13.0,Platinum 1,33.0,14.4578,Flex,1.9231,6.0
NurboTipples,9653,16.0,Diamond 1,68.0,30.5556,Flex,0.8125,10.0
Korea,Seoul,17.0,Diamond 2,48.5,25.9584,Flex,1.1944,5.0
Aki,khan,17.0,Diamond 2,20.2,20.8442,Flex,1.5201,5.8
FloppyPickle62,7431,15.0,Platinum 3,56.8,18.3059,Duelist,0.8928,5.8
Karma,3507,16.0,Diamond 1,58.4,14.0977,Initiator,1.627,9.2
Khaleesi Drogo,NA1,17.0,Diamond 2,34.0,34.1667,Flex,1.7202,0.6667
CaptainAwesome,IUB,20.0,Immortal 2,,,Flex,,
Royuel,DEGEN,21.0,Immortal 3,36.6,18.7893,Initiator,1.2608,5.4
Mudhopper,1234,14.0,Platinum 2,51.8,23.3711,Duelist,0.912,3.8
tekn0,tekn0,20.0,Immortal 2,61.5,20.176,Flex,1.5265,4.5
Apoxy,9605,16.0,Diamond 1,33.6,28.6429,Duelist,1.0112,2.8
onlysettings,5451,12.0,Gold 3,19.0,13.7255,Flex,1.0714,7.0
Hoff,9610,19.0,Immortal 1,34.8,9.3838,Flex,0.7295,3.4
IveRespected,Alone,18.0,Diamond 3,68.0,35.4839,Flex,1.5556,10.0
bootymanvibez FN,slime,15.0,Platinum 3,36.4,20.2242,Sentinel,1.8594,4.0
Liteyr,1337,13.0,Platinum 1,37.0,25.641,Flex,0.6875,5.0
Vanish,Away,18.0,Diamond 3,37.6,33.4472,Sentinel,1.4816,2.6
UrCheeksRminee,NA1,12.0,Gold 3,23.4,7.9511,Initiator,0.6252,7.2
MiniBolt,MLT,18.0,Diamond 3,40.8,23.7794,Duelist,1.1845,5.0
Kuikr,1111,17.0,Diamond 2,36.6,25.7241,Initiator,0.9222,5.0
Sleepy,8023,15.0,Platinum 3,45.0,15.0685,Flex,1.7143,5.0
Serpensodia,NA1,11.0,Gold 2,0.0,0.0,Flex,0.0,0.0
bobcamper,NA1,,NaN,42.0,39.1304,Flex,0.75,5.0
Indomie,1772,17.0,Diamond 2,52.0,29.1232,Flex,1.027,4.8
morseLane,SMILE,15.0,Platinum 3,0.0,0.0,Flex,1.24,4.0
Cooplaxx Yao,BOBO,15.0,Platinum 3,20.6,23.1888,Controller,1.0218,6.4
na na,pog,12.0,Gold 3,12.0,10.1923,Duelist,0.7481,5.2
MochiMochi,Salty,18.0,Diamond 3,25.0,15.3234,Initiator,0.9385,9.2
Bus driver,4563,12.0,Gold 3,41.4,20.6387,Duelist,0.8872,4.2
SMOKEY2K,smoke,17.0,Diamond 2,26.0,22.729,Sentinel,1.2933,2.2
waddles,BERU,14.0,Platinum 2,32.8,26.5729,Initiator,1.1156,5.6
ennpee,6649,18.0,Diamond 3,33.0,17.6568,Initiator,1.0724,7.0
Dabest,NAE,17.0,Diamond 2,22.4,27.6898,Flex,0.8739,1.2
Løst,Gone,15.0,Platinum 3,39.0,20.2899,Flex,1.5,5.0
rabyt,4887,16.0,Diamond 1,,,Flex,,
Kane,7951,18.0,Diamond 3,59.3333,23.1077,Flex,1.2004,4.3333
Mias Simp,000,16.0,Diamond 1,48.6,17.0301,Sentinel,1.1694,5.6
Ant Simulator,5150,16.0,Diamond 1,17.4,16.3758,Flex,0.8679,3.2
keeløツ,keelo,19.0,Immortal 1,34.0,18.3207,Duelist,0.8768,5.2
DonSamsa2,1307,16.0,Diamond 1,24.4,24.0319,Duelist,1.3237,2.2
LonelyGhost,6660,8.0,Silver 2,10.8,12.9176,Duelist,0.925,6.2
OG Miku,NA1,15.0,Platinum 3,27.6,19.4367,Sentinel,1.2663,6.4
GettingCookies,9696,16.0,Diamond 1,57.0,10.7143,Flex,0.9333,8.0
ChazaDaddy,1692,15.0,Platinum 3,58.2,22.4346,Flex,1.5064,4.6
αzαяίαh,00001,14.0,Platinum 2,66.2,23.3031,Controller,1.2822,5.4
saint,V1629,16.0,Diamond 1,37.6,20.3441,Initiator,1.3772,5.2
Grieffyyyy,5893,18.0,Diamond 3,52.0,18.2168,Initiator,1.0003,7.2
beta,okie,15.0,Platinum 3,39.8,15.5168,Duelist,1.3081,2.6
SimpDaddyT,1111,13.0,Platinum 1,19.4,4.9145,Controller,0.6874,5.2
onetwenty,AWP,17.0,Diamond 2,26.0,46.875,Flex,0.8333,4.0
Sixth,9414,16.0,Diamond 1,42.0,0.0,Flex,0.6429,5.0
Nyquillus Dilwad,2GuD,14.0,Platinum 2,23.6,16.1778,Flex,1.706,4.6
SomeGuysThighs,Thigh,14.0,Platinum 2,63.0,20.1867,Duelist,1.5629,7.6
MrMonkey,BIGPP,16.0,Diamond 1,53.4,15.6398,Sentinel,1.1239,9.8
RUCourtingDeath,43214,19.0,Immortal 1,70.0,17.9455,Flex,1.1804,6.6667
PoMpeTTe65,EUW,9.0,Silver 3,10.4,6.5801,Initiator,0.7333,2.4
Nomi,3700,17.0,Diamond 2,30.6,15.1174,Sentinel,1.1356,7.4
Papi Chulo,fuego,20.0,Immortal 2,45.0,14.7409,Controller,1.471,4.4
Jaxx,7569,21.0,Immortal 3,22.8,11.268,Sentinel,1.3097,7.4
Alecks,0000,18.0,Diamond 3,52.6,11.6469,Duelist,0.8772,4.6
cucumber,bfpls,19.0,Immortal 1,27.6,24.3131,Flex,1.2742,5.2
popsickman,NA1,14.0,Platinum 2,14.0,44.0,Flex,1.0833,3.0
spooku,1303,16.0,Diamond 1,28.2,25.4595,Duelist,0.9822,4.0
DireRez,NA1,14.0,Platinum 2,18.6,14.7148,Initiator,0.9527,4.6
Derzilianaire,5333,17.0,Diamond 2,33.0,18.1778,Controller,1.1343,5.2
muñañyo,BBC,19.0,Immortal 1,31.4,25.9478,Duelist,1.2373,4.4
mile,69NA,17.0,Diamond 2,23.8,19.2333,Sentinel,1.2514,5.2
triplespace,2137,13.0,Platinum 1,43.3333,22.7228,Flex,0.6657,8.3333
Ops,1203,14.0,Platinum 2,52.8,14.0992,Initiator,0.6478,4.6
root,8119,15.0,Platinum 3,49.8,26.3349,Flex,1.14,4.4
Little Bingster,NA1,17.0,Diamond 2,41.6,18.1111,Flex,0.8129,3.0
H3ROJr,saved,16.0,Diamond 1,42.0,26.6667,Flex,0.3333,7.0
yes,8338,20.0,Immortal 2,0.0,0.0,Duelist,1.7072,2.4
shep,9009,13.0,Platinum 1,21.0,14.7122,Flex,0.9375,3.0
byran,6833,14.0,Platinum 2,0.0,0.0,Flex,1.3103,1.0
wingsofdoug,NA1,15.0,Platinum 3,66.0,20.6897,Flex,0.7647,15.0
Autaro,8412,16.0,Diamond 1,46.0,26.9343,Initiator,1.1659,5.8
Tap,5677,20.0,Immortal 2,59.4,13.4345,Controller,0.6973,8.8
VIPz,4123,15.0,Platinum 3,17.2,4.9532,Flex,0.8102,5.2
LAN,929,18.0,Diamond 3,,,Flex,,
Zest0,pluto,19.0,Immortal 1,46.5,14.8067,Flex,1.1258,5.0
hynax,yoru,14.0,Platinum 2,60.6,30.0077,Duelist,1.1776,3.2
SergeantFancy,NA1,15.0,Platinum 3,40.8,15.6278,Duelist,1.271,6.4
hiro1,000,17.0,Diamond 2,22.0,32.9877,Sentinel,1.2682,3.4
NorthVirginia,00012,,NaN,58.0,21.1538,Flex,1.2941,3.0
CodyLikesGirls,UrDad,17.0,Diamond 2,22.2,24.7774,Duelist,1.1285,3.2
ASTRO,3747,19.0,Immortal 1,,,Flex,,
kin,life,15.0,Platinum 3,49.6,27.6646,Duelist,1.0283,5.8
manman,0000,16.0,Diamond 1,,,Flex,,
dirt,bbno,18.0,Diamond 3,38.2,21.9651,Initiator,0.8763,6.8
Zelxte,9554,15.0,Platinum 3,15.4,12.4444,Initiator,1.2471,3.6
NTry,bang,15.0,Platinum 3,32.5,14.5062,Flex,0.8146,6.5
Chanh,28202,16.0,Diamond 1,7.0,0.0,Flex,0.0,1.0
darfredre,3324,20.0,Immortal 2,56.4,22.9791,Duelist,1.3761,4.0
alasiann,069,10.0,Gold 1,33.8,19.2325,Flex,0.7663,3.8
salted,guts,14.0,Platinum 2,11.4,11.4718,Flex,0.9246,2.0
doubt,ethot,15.0,Platinum 3,41.0,20.6897,Flex,0.8571,8.0
PePePoker420,pepes,13.0,Platinum 1,26.4,10.9035,Flex,0.6681,2.4
Kwonoes,8331,16.0,Diamond 1,29.6,22.1279,Controller,1.2972,3.0
Joosh,6364,16.0,Diamond 1,43.0,25.3731,Flex,1.2667,8.0
z2neat,2neat,18.0,Diamond 3,61.6,15.9633,Flex,1.1416,6.8
ian 11111,NA1,17.0,Diamond 2,39.2,16.1178,Duelist,1.1997,4.6
FlyingTuna,4363,16.0,Diamond 1,45.2,22.9897,Duelist,1.0218,5.2
HoserTres,PTP,15.0,Platinum 3,0.0,0.0,Flex,0.6667,8.0
BoBo,4978,18.0,Diamond 3,,,Flex,,
Moody,Sloth,18.0,Diamond 3,38.0,13.4624,Initiator,1.5211,5.4
Rawdog Demon,w0m,20.0,Immortal 2,43.5,18.6914,Flex,1.4883,6.0
pardon,6191,,NaN,66.0,34.4387,Initiator,1.6785,5.25
goldenFranz,NA1,14.0,Platinum 2,0.0,0.0,Flex,1.0,3.0
4L INX,9999,18.0,Diamond 3,,,Flex,,
Serene,Soju,19.0,Immortal 1,31.4,14.9732,Sentinel,1.1881,3.8
Clapncheeqs,3621,14.0,Platinum 2,35.2,14.9543,Sentinel,1.1571,3.8
Ziroku,Ninja,17.0,Diamond 2,21.2,17.7393,Flex,0.8023,4.6
iminher,9277,15.0,Platinum 3,40.6,13.9462,Flex,0.9455,5.6
Laptop2imm,titty,15.0,Platinum 3,54.0,10.3448,Flex,0.4118,8.0
5Cryb3,3133,9.0,Silver 3,53.0,9.332,Flex,1.2221,3.4
Gpro,super,17.0,Diamond 2,26.6,18.0744,Duelist,0.7387,3.8
Brelden Chan,NA1,14.0,Platinum 2,36.2,15.4519,Flex,0.7567,6.2
Gxlden,1117,14.0,Platinum 2,28.0,20.8299,Duelist,1.5676,4.6
GoldKnightX,GKX,15.0,Platinum 3,18.0,5.0292,Flex,0.8379,4.8
rehsa,E10DN,17.0,Diamond 2,69.0,26.3158,Flex,1.0667,10.0
EnFuego,6207,15.0,Platinum 3,9.6,9.4737,Initiator,0.8088,3.2
Cobagio,AYY,21.0,Immortal 3,65.0,13.1185,Flex,0.5806,11.5
pom,13yrs,22.0,Radiant,12.2,35.0476,Sentinel,1.8143,0.8
BagdarOfLife,4476,15.0,Platinum 3,22.4,9.2985,Sentinel,0.7536,8.8
ManginaLover,Gin,15.0,Platinum 3,24.6,21.5467,Duelist,0.7639,4.4
opto,8661,12.0,Gold 3,27.0,32.7564,Sentinel,0.706,5.0
allen,2608,14.0,Platinum 2,45.0,18.9189,Flex,0.5882,8.0
4507,4948,17.0,Diamond 2,,,Flex,,
jmansz,0611,17.0,Diamond 2,34.0,21.5957,Flex,1.5103,4.6
SamShooterOG,NA1,17.0,Diamond 2,8.8,3.1579,Flex,1.1209,3.0
PenguinSold1er,Abir,15.0,Platinum 3,47.0,26.6667,Flex,1.5,5.0
kemuri,5219,18.0,Diamond 3,33.2,11.4156,Flex,0.9857,4.8
pixL,zzz,16.0,Diamond 1,,,Flex,,
yojun,7206,17.0,Diamond 2,19.0,23.3333,Flex,1.0632,3.0
Hisoka,Smexy,12.0,Gold 3,0.0,0.0,Flex,0.5,1.0
tlswkap,5637,11.0,Gold 2,45.4,25.8591,Flex,0.8089,5.4
EGO,Miku,16.0,Diamond 1,34.0,34.0752,Duelist,1.386,4.2
BP Zanny,Jett,18.0,Diamond 3,30.8,27.3851,Flex,1.4681,3.2
iSprayPanda,999,17.0,Diamond 2,44.2,18.603,Initiator,1.1342,5.6
tapioca,booba,16.0,Diamond 1,40.8,18.6271,Flex,0.7162,5.6
Yorichi,4002,17.0,Diamond 2,28.0,35.7143,Flex,1.1176,2.0
xCOBBIEx,WEEB,17.0,Diamond 2,45.0,12.069,Flex,1.0667,3.0
RaySwagga,8637,15.0,Platinum 3,,,Flex,,
MoodyB,MONEY,12.0,Gold 3,39.4,25.1938,Flex,0.9016,5.6
el batman,mmm,,NaN,12.6667,18.4669,Duelist,1.1924,2.3333
boosted baboon,6969,19.0,Immortal 1,37.4,18.3074,Controller,1.0025,9.4
P61 Black Widow,4493,18.0,Diamond 3,37.8,12.6316,Flex,1.007,8.4
