User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Saucy Chrish,saucy,Gold 1,Duelist,1.8175,5.2,21.8247,48.6
tinathegreat,rei,Platinum 1,Sentinel,0.7708,6.4,14.7738,49.4
Enwit,NA1,Diamond 1,Flex,1.1014,4.0,16.0032,38.0
jake,esex,Platinum 3,Flex,1.9933,2.2,12.5122,7.0
LBS,2121,Immortal 1,Initiator,1.0202,6.8,15.4605,35.6
TBoner,2164,Platinum 3,Sentinel,1.8415,3.0,13.8621,30.8
Timmy,4982,,Flex,1.3394,6.5,0.0,0.0
izone forever,ot12,Platinum 2,Flex,1.1223,5.2,24.8724,39.2
RoseTheRasinBran,1068,Bronze 1,Sentinel,0.7024,5.0,15.8947,38.2
Nickyoogle,12345,Diamond 2,Flex,0.5298,2.0,0.0,0.0
Sukiyaki,sushi,Gold 1,Flex,1.1662,4.2,11.7701,23.4
ElProfesor,Cutie,Gold 3,Duelist,1.9059,3.2,19.019,33.2
TeK,BOT,Immortal 1,Duelist,0.8297,4.8,13.4252,35.6
Alter,5169,Silver 3,Initiator,0.9361,4.8,7.2308,17.4
Davygravy,8878,Diamond 3,Flex,1.1939,4.2,5.5912,19.8
Rocky,69696,Platinum 1,Sentinel,1.7922,3.4,18.6231,32.8
Kiyoji,2922,Diamond 3,Flex,1.4624,6.0,25.4402,46.6
Lake,Jake,Diamond 1,Initiator,1.0971,2.6,15.451,33.6
Derick,2ma,Diamond 3,Controller,0.8463,5.4,24.0742,53.2
OpTic Casper,yay,Diamond 3,Duelist,0.8999,4.6,12.602,40.4
KTZ ic6yy,Mommy,Diamond 2,Duelist,1.0083,2.8,15.3565,27.8
Jeaned,69420,Platinum 3,Flex,1.0717,4.6,9.5496,36.0
SilentElixer,NA1,Gold 1,Duelist,1.1931,4.0,25.1068,42.2
office worker,angel,Platinum 1,Flex,0.3571,2.0,14.0625,8.0
SACK Nancy,2579,Immortal 1,Flex,0.9473,5.0,26.5316,44.2
ANDREW TATE III,3644,Diamond 1,Flex,1.9604,1.8,16.4211,19.8
Jin Jin,NA1,Diamond 1,Duelist,1.0589,3.0,33.7801,33.0
Spizno,swag,Diamond 2,Flex,1.1583,5.5,22.3661,45.0
Try a Beast,7636,Platinum 1,Flex,0.6147,6.8,12.3417,31.8
Tactician107,NA1,Diamond 2,Controller,1.1736,7.0,22.8575,66.4
Jake,gang,Immortal 2,Flex,1.4532,3.4,23.825,38.8
lucas,hey,Platinum 1,Duelist,1.1681,3.8,18.1555,47.0
cemibtw,4142,Silver 1,Initiator,1.9209,4.2,25.4454,24.6
caeden,9462,Platinum 2,Flex,0.9585,2.8,16.3579,18.8
TheBigPotato,3636,Diamond 2,Flex,1.595,5.0,21.3242,51.6
jimmy,idc,Immortal 2,Flex,0.8358,3.0,9.434,28.5
Ferrari Peak,420,Gold 3,Flex,1.2191,4.4,14.2519,25.6
vvraith,8008,Platinum 2,Flex,1.3769,6.4,10.8148,54.8
VALUSIA,gtb,Immortal 1,Duelist,1.4647,1.4,29.099,20.2
SilenceR,MLT,Platinum 1,Sentinel,1.1398,2.8,20.7192,33.8
Phantom,CMICH,Diamond 1,Duelist,1.3067,2.0,32.7602,9.0
Dymo,BUILD,Platinum 1,Flex,1.0769,4.0,25.0,38.0
Milkman,millk,Diamond 2,Flex,0.806,4.0,8.1053,11.0
OxygenInhaler,6503,Diamond 1,Flex,0.5625,6.0,32.0,27.0
Noodl3,Shop,Diamond 3,Flex,1.4762,5.0,24.213,50.0
Ahag,6047,Diamond 3,Flex,1.0667,12.0,18.254,70.0
ninxx22,9779,Diamond 2,Flex,0.3333,1.0,9.5238,17.0
kwad,9942,,Flex,1.3393,7.0,5.1829,10.5
Zxdav,Sugoi,Platinum 3,Initiator,1.1502,6.2,14.6893,36.4
Scyfyyy,1363,Diamond 2,Flex,1.4169,4.8,23.7427,20.6
PrimaryCoyote77,NA1,Platinum 3,Controller,0.9929,4.6,10.5128,25.4
SpiderMonkey382,NA1,Platinum 3,Flex,0.8895,4.4,26.9238,25.2
west virginia,west,Platinum 1,Duelist,1.3394,3.2,21.9338,37.4
Kisuke,zzz,Diamond 2,Sentinel,1.5862,3.6,20.8491,40.2
spiderpigrider,NA1,Platinum 3,Duelist,0.9884,6.2,12.5476,22.2
ApolloLTC,1480,Gold 1,Sentinel,1.4394,3.0,23.4295,34.4
InF Kuzi,WRLD,Immortal 1,Duelist,1.5875,2.8,25.6787,28.4
nollid,4444,Immortal 1,Flex,0.7297,3.8,26.2092,33.6
Synq,0000,Immortal 3,Initiator,1.2985,4.4,16.9147,43.4
zCzar,4256,Silver 1,Controller,1.2735,6.4,0.0,0.0
angel,uhh,Platinum 1,Duelist,1.2551,3.6,20.3823,30.8
6K BEASTXZUKEN,JDL,Immortal 3,Flex,2.1928,3.0,12.5,15.2
Psychi,7099,Immortal 1,Sentinel,0.8381,5.8,20.1212,23.4
AlphaCentauri,4125,Diamond 2,Initiator,1.0077,5.8,14.537,33.0
saucin,7985,Diamond 3,Duelist,0.9768,6.4,24.4215,36.6
Corner,1312,Bronze 3,Flex,1.4706,3.8,21.0227,5.6
Kiyoshi,4551,Diamond 2,Sentinel,1.2601,2.6,28.8113,46.6
Tap,5677,Immortal 1,Controller,1.2849,7.6,17.1362,55.0
pototo,ahaha,Platinum 3,Duelist,0.6685,3.8,11.4592,43.4
Scoot,0001,Diamond 2,Flex,1.0135,6.0,13.8025,53.6
chunguswaifu,5341,Platinum 2,Duelist,0.7341,5.2,24.7845,40.2
Kaneki,2875,Platinum 1,Duelist,1.0812,3.2,34.7887,39.8
ANaath,8565,Gold 3,Flex,1.7311,4.8,20.1145,43.0
ItzChrisB,LeBot,Silver 3,Sentinel,0.9555,3.0,16.7869,27.4
Clummzy,GANG,Diamond 2,Flex,0.8168,4.6667,19.2117,37.3333
Θ弓ΛлЖ,69420,Gold 1,Initiator,0.7079,1.8,0.0,0.0
Psychi,7099,Diamond 3,Sentinel,0.9021,4.8,16.4054,28.2
SeZn,RALPH,Immortal 1,Duelist,1.5424,4.4,21.0849,40.6
seit,seit,Diamond 1,Sentinel,0.8177,2.8,30.4013,40.2
ItzKennyT,NA1,Platinum 2,Controller,1.4176,3.4,25.7506,33.0
Arium,NA1,Immortal 1,Controller,1.2776,7.6,27.5454,51.2
guartish,fku,Diamond 1,Duelist,1.3215,4.4,5.614,10.6
bmb,6714,Platinum 3,Initiator,0.8318,4.8,22.4357,43.0
coolzer32,1519,Diamond 2,Flex,1.0241,5.0,19.3104,41.2
prada,aquil,Immortal 2,Duelist,1.1709,6.6,20.7935,58.6
Nex,2708,Diamond 2,Sentinel,0.9948,3.2,22.3739,37.2
Seabisquet,1949,Platinum 2,Duelist,0.9242,4.2,12.8743,22.8
BankTeller,2435,Platinum 3,Duelist,1.665,5.6,18.2082,26.8
Moon,wow,Gold 1,Duelist,1.7189,4.2,19.7701,22.4
Asaland,NA1,Gold 3,Flex,0.7116,5.2,6.5192,37.8
fad,fad1,Immortal 1,Flex,2.2857,2.0,15.3846,32.0
BERTO,6981,Immortal 3,Sentinel,1.2993,4.2,18.7612,36.2
